DateTime,Users,In-Game
2023-05-17 22:40:00,20529153.0,5048694.0
2023-05-17 22:50:00,20344921.0,4980508.0
2023-05-17 23:00:00,20176216.0,4901464.0
2023-05-17 23:10:00,19986937.0,4816006.0
2023-05-17 23:20:00,19867097.0,4767035.0
2023-05-17 23:30:00,19747115.0,4721416.0
2023-05-17 23:40:00,19662193.0,4685547.0
2023-05-17 23:50:00,19611031.0,4657864.0
2023-05-18 00:00:00,19574845.0,4607051.0
2023-05-18 00:10:00,19546298.0,4575276.0
2023-05-18 00:20:00,19562802.0,4572657.0
2023-05-18 00:30:00,19604823.0,4578280.0
2023-05-18 00:40:00,19640348.0,4586118.0
2023-05-18 00:50:00,19674752.0,4595518.0
2023-05-18 01:00:00,19719975.0,4596217.0
2023-05-18 01:10:00,19756661.0,4610423.0
2023-05-18 01:20:00,19790350.0,4627065.0
2023-05-18 01:30:00,19806913.0,4637982.0
2023-05-18 01:40:00,19823757.0,4648744.0
2023-05-18 01:50:00,19844375.0,4656816.0
2023-05-18 02:00:00,19855911.0,4658133.0
2023-05-18 02:10:00,19855831.0,4663080.0
2023-05-18 02:20:00,19848492.0,4665497.0
2023-05-18 02:30:00,19843956.0,4669434.0
2023-05-18 02:40:00,19816647.0,4670753.0
2023-05-18 02:50:00,19776426.0,4668053.0
2023-05-18 03:00:00,19685463.0,4657679.0
2023-05-18 03:10:00,19597575.0,4635164.0
2023-05-18 03:20:00,19522157.0,4612909.0
2023-05-18 03:30:00,19441637.0,4580270.0
2023-05-18 03:40:00,19368769.0,4550394.0
2023-05-18 03:50:00,19325974.0,4526331.0
2023-05-18 04:00:00,19307214.0,4500367.0
2023-05-18 04:10:00,19329704.0,4490472.0
2023-05-18 04:20:00,19385410.0,4512883.0
2023-05-18 04:30:00,19402790.0,4532911.0
2023-05-18 04:40:00,19399235.0,4546696.0
2023-05-18 04:50:00,19366600.0,4548079.0
2023-05-18 05:00:00,19316642.0,4536648.0
2023-05-18 05:10:00,19213070.0,4506886.0
2023-05-18 05:20:00,19119978.0,4481472.0
2023-05-18 05:30:00,19049969.0,4451416.0
2023-05-18 05:40:00,18996702.0,4431239.0
2023-05-18 05:50:00,18959726.0,4409556.0
2023-05-18 06:00:00,18970312.0,4389709.0
2023-05-18 06:10:00,19015785.0,4401650.0
2023-05-18 06:20:00,19076964.0,4429686.0
2023-05-18 06:30:00,19144335.0,4443535.0
2023-05-18 06:40:00,19223483.0,4465884.0
2023-05-18 06:50:00,19309895.0,4491430.0
2023-05-18 07:00:00,19416158.0,4514769.0
2023-05-18 07:10:00,19536652.0,4553978.0
2023-05-18 07:20:00,19656313.0,4594348.0
2023-05-18 07:30:00,19800206.0,4641383.0
2023-05-18 07:40:00,19952288.0,4698569.0
2023-05-18 07:50:00,20126695.0,4758496.0
2023-05-18 08:00:00,20321284.0,4821923.0
2023-05-18 08:10:00,20475208.0,4853083.0
2023-05-18 08:20:00,20677314.0,4924276.0
2023-05-18 08:30:00,20866189.0,4987865.0
2023-05-18 08:40:00,21078508.0,5052967.0
2023-05-18 08:50:00,21279800.0,5109580.0
2023-05-18 09:00:00,21418738.0,5146186.0
2023-05-18 09:10:00,21624530.0,5191943.0
2023-05-18 09:20:00,21818422.0,5233542.0
2023-05-18 09:30:00,21998659.0,5275059.0
2023-05-18 09:40:00,22196734.0,5320570.0
2023-05-18 09:50:00,22420858.0,5361612.0
2023-05-18 10:00:00,22597285.0,5384268.0
2023-05-18 10:10:00,22843968.0,5446711.0
2023-05-18 10:20:00,23076278.0,5506156.0
2023-05-18 10:30:00,23337094.0,5573411.0
2023-05-18 10:40:00,23601711.0,5653649.0
2023-05-18 10:50:00,23861381.0,5737202.0
2023-05-18 11:00:00,24190972.0,5827229.0
2023-05-18 11:10:00,24501375.0,5941600.0
2023-05-18 11:20:00,24803240.0,6063845.0
2023-05-18 11:30:00,25168674.0,6210314.0
2023-05-18 11:40:00,25489280.0,6341114.0
2023-05-18 11:50:00,25876469.0,6500951.0
2023-05-18 12:00:00,26253776.0,6653668.0
2023-05-18 12:10:00,26620109.0,6817650.0
2023-05-18 12:20:00,27035719.0,7000281.0
2023-05-18 12:30:00,27375124.0,7139040.0
2023-05-18 12:40:00,27754392.0,7313690.0
2023-05-18 12:50:00,28118388.0,7462478.0
2023-05-18 13:00:00,28427929.0,7561792.0
2023-05-18 13:10:00,28733832.0,7683478.0
2023-05-18 13:20:00,29049408.0,7809290.0
2023-05-18 13:30:00,29307518.0,7933739.0
2023-05-18 13:40:00,29532609.0,8036667.0
2023-05-18 13:50:00,29714932.0,8097892.0
2023-05-18 14:00:00,29802928.0,8126830.0
2023-05-18 14:10:00,29873953.0,8181653.0
2023-05-18 14:20:00,29908054.0,8192105.0
2023-05-18 14:30:00,29882082.0,8147554.0
2023-05-18 14:40:00,29811250.0,8100082.0
2023-05-18 14:50:00,29723805.0,8044046.0
2023-05-18 15:00:00,29533288.0,7918129.0
2023-05-18 15:10:00,29177073.0,7799226.0
2023-05-18 15:20:00,28964408.0,7713804.0
2023-05-18 15:30:00,28710094.0,7605242.0
2023-05-18 15:40:00,28420684.0,7485414.0
2023-05-18 15:50:00,28203679.0,7380363.0
2023-05-18 16:00:00,27916765.0,7261819.0
2023-05-18 16:10:00,27500979.0,7131636.0
2023-05-18 16:20:00,27249736.0,7073788.0
2023-05-18 16:30:00,26999505.0,7023307.0
2023-05-18 16:40:00,26809131.0,6960191.0
2023-05-18 16:50:00,26657668.0,6902499.0
2023-05-18 17:00:00,26496629.0,6833009.0
2023-05-18 17:10:00,26324476.0,6769957.0
2023-05-18 17:20:00,26213672.0,6739541.0
2023-05-18 17:30:00,26141136.0,6705935.0
2023-05-18 17:40:00,26091187.0,6719033.0
2023-05-18 17:50:00,26030858.0,6720063.0
2023-05-18 18:00:00,25970824.0,6711296.0
2023-05-18 18:10:00,25910869.0,6718897.0
2023-05-18 18:20:00,25864961.0,6737963.0
2023-05-18 18:30:00,25823632.0,6744041.0
2023-05-18 18:40:00,25755398.0,6738793.0
2023-05-18 18:50:00,25701244.0,6725655.0
2023-05-18 19:00:00,25610015.0,6700050.0
2023-05-18 19:10:00,25496691.0,6669368.0
2023-05-18 19:20:00,25383107.0,6646655.0
2023-05-18 19:30:00,25259303.0,6621198.0
2023-05-18 19:40:00,25117074.0,6595460.0
2023-05-18 19:50:00,24955892.0,6576113.0
2023-05-18 20:00:00,24745083.0,6524711.0
2023-05-18 20:10:00,24487823.0,6450194.0
2023-05-18 20:20:00,24236764.0,6366556.0
2023-05-18 20:30:00,24010988.0,6296505.0
2023-05-18 20:40:00,23754489.0,6211782.0
2023-05-18 20:50:00,23480766.0,6116894.0
2023-05-18 21:00:00,23214400.0,6021294.0
2023-05-18 21:10:00,22817136.0,5852906.0
2023-05-18 21:20:00,22518387.0,5730087.0
2023-05-18 21:30:00,22242454.0,5629788.0
2023-05-18 21:40:00,21957564.0,5526185.0
2023-05-18 21:50:00,21697023.0,5436516.0
2023-05-18 22:00:00,21406327.0,5311682.0
2023-05-18 22:10:00,21121402.0,5207397.0
2023-05-18 22:20:00,20885348.0,5128502.0
2023-05-18 22:30:00,20677034.0,5057168.0
2023-05-18 22:40:00,20455320.0,4972457.0
2023-05-18 22:50:00,20284440.0,4909547.0
2023-05-18 23:00:00,20113117.0,4837011.0
2023-05-18 23:10:00,19948078.0,4761147.0
2023-05-18 23:20:00,19823174.0,4718307.0
2023-05-18 23:30:00,19719102.0,4679827.0
2023-05-18 23:40:00,19644623.0,4649650.0
2023-05-18 23:50:00,19535574.0,4600989.0
2023-05-19 00:00:00,19546680.0,4595311.0
2023-05-19 00:10:00,19591836.0,4623172.0
2023-05-19 00:20:00,19638858.0,4650128.0
2023-05-19 00:30:00,19675308.0,4655740.0
2023-05-19 00:40:00,19723048.0,4645356.0
2023-05-19 00:50:00,19767342.0,4656369.0
2023-05-19 01:00:00,19826567.0,4661762.0
2023-05-19 01:10:00,19861739.0,4664100.0
2023-05-19 01:20:00,19915175.0,4681779.0
2023-05-19 01:30:00,19944865.0,4693846.0
2023-05-19 01:40:00,19969450.0,4708663.0
2023-05-19 01:50:00,20004835.0,4725846.0
2023-05-19 02:00:00,20028392.0,4736462.0
2023-05-19 02:10:00,20049440.0,4752444.0
2023-05-19 02:20:00,20072023.0,4775216.0
2023-05-19 02:30:00,20075143.0,4784279.0
2023-05-19 02:40:00,20064374.0,4790153.0
2023-05-19 02:50:00,20046189.0,4786796.0
2023-05-19 03:00:00,20004816.0,4772793.0
2023-05-19 03:10:00,19929788.0,4744510.0
2023-05-19 03:20:00,19848371.0,4733920.0
2023-05-19 03:30:00,19781691.0,4713438.0
2023-05-19 03:40:00,19710820.0,4688133.0
2023-05-19 03:50:00,19678722.0,4666357.0
2023-05-19 04:00:00,19670782.0,4648634.0
2023-05-19 04:10:00,19690373.0,4645937.0
2023-05-19 04:20:00,19753338.0,4671916.0
2023-05-19 04:30:00,19774053.0,4695128.0
2023-05-19 04:40:00,19776042.0,4710137.0
2023-05-19 04:50:00,19765176.0,4715276.0
2023-05-19 05:00:00,19725019.0,4709727.0
2023-05-19 05:10:00,19647113.0,4687673.0
2023-05-19 05:20:00,19586564.0,4672718.0
2023-05-19 05:30:00,19514129.0,4628910.0
2023-05-19 05:40:00,19488223.0,4609652.0
2023-05-19 05:50:00,19457010.0,4596121.0
2023-05-19 06:00:00,19485359.0,4583110.0
2023-05-19 06:10:00,19553443.0,4609284.0
2023-05-19 06:20:00,19613660.0,4622437.0
2023-05-19 06:30:00,19698436.0,4644981.0
2023-05-19 06:40:00,19785026.0,4666427.0
2023-05-19 06:50:00,19876409.0,4690015.0
2023-05-19 07:00:00,19933027.0,4673101.0
2023-05-19 07:10:00,20051877.0,4717096.0
2023-05-19 07:20:00,20182078.0,4756787.0
2023-05-19 07:30:00,20270440.0,4770327.0
2023-05-19 07:40:00,20398137.0,4814198.0
2023-05-19 07:50:00,20580873.0,4876740.0
2023-05-19 08:00:00,20744537.0,4927922.0
2023-05-19 08:10:00,20913508.0,4989706.0
2023-05-19 08:20:00,21102151.0,5056480.0
2023-05-19 08:30:00,21283726.0,5113645.0
2023-05-19 08:40:00,21464569.0,5173577.0
2023-05-19 08:50:00,21633122.0,5216488.0
2023-05-19 09:00:00,21801355.0,5250136.0
2023-05-19 09:10:00,21988253.0,5297645.0
2023-05-19 09:20:00,22166548.0,5332011.0
2023-05-19 09:30:00,22326210.0,5368915.0
2023-05-19 09:40:00,22510816.0,5412058.0
2023-05-19 09:50:00,22715351.0,5450233.0
2023-05-19 10:00:00,22899717.0,5484460.0
2023-05-19 10:10:00,23094880.0,5534011.0
2023-05-19 10:20:00,23377527.0,5616499.0
2023-05-19 10:30:00,23628345.0,5695367.0
2023-05-19 10:40:00,23907380.0,5790559.0
2023-05-19 10:50:00,24202711.0,5894172.0
2023-05-19 11:00:00,24502838.0,5990864.0
2023-05-19 11:10:00,24841655.0,6122926.0
2023-05-19 11:20:00,25154138.0,6245070.0
2023-05-19 11:30:00,25519584.0,6390093.0
2023-05-19 11:40:00,25863999.0,6534069.0
2023-05-19 11:50:00,26239755.0,6685658.0
2023-05-19 12:00:00,26602302.0,6837369.0
2023-05-19 12:10:00,26968325.0,7012742.0
2023-05-19 12:20:00,27409709.0,7218493.0
2023-05-19 12:30:00,27789002.0,7389840.0
2023-05-19 12:40:00,28121653.0,7550528.0
2023-05-19 12:50:00,28484326.0,7703932.0
2023-05-19 13:00:00,28828751.0,7840900.0
2023-05-19 13:10:00,29104102.0,7958266.0
2023-05-19 13:20:00,29416809.0,8102823.0
2023-05-19 13:30:00,29691469.0,8218968.0
2023-05-19 13:40:00,29916738.0,8329667.0
2023-05-19 13:50:00,30122485.0,8421810.0
2023-05-19 14:00:00,30270312.0,8494138.0
2023-05-19 14:10:00,30394668.0,8554335.0
2023-05-19 14:20:00,30482368.0,8581080.0
2023-05-19 14:30:00,30516708.0,8589693.0
2023-05-19 14:40:00,30523114.0,8595203.0
2023-05-19 14:50:00,30481517.0,8590045.0
2023-05-19 15:00:00,30388831.0,8550834.0
2023-05-19 15:10:00,30182245.0,8470846.0
2023-05-19 15:20:00,30044956.0,8430845.0
2023-05-19 15:30:00,29861943.0,8344033.0
2023-05-19 15:40:00,29613850.0,8239820.0
2023-05-19 15:50:00,29386665.0,8159336.0
2023-05-19 16:00:00,29102123.0,8030879.0
2023-05-19 16:10:00,28783956.0,7903589.0
2023-05-19 16:20:00,28494217.0,7792404.0
2023-05-19 16:30:00,28262985.0,7707389.0
2023-05-19 16:40:00,28045380.0,7620027.0
2023-05-19 16:50:00,27765695.0,7502372.0
2023-05-19 17:00:00,27625132.0,7457150.0
2023-05-19 17:10:00,27410936.0,7382300.0
2023-05-19 17:20:00,27224041.0,7328249.0
2023-05-19 17:30:00,27083959.0,7291309.0
