DateTime,Users
2023-04-03 00:00:00,1.0
2023-04-04 00:00:00,3.0
2023-04-05 00:00:00,4.0
2023-04-06 00:00:00,2.0
2023-04-07 00:00:00,27.0
2023-04-08 00:00:00,1.0
2023-04-09 00:00:00,1.0
2023-04-10 00:00:00,24.0
2023-04-11 00:00:00,26.0
2023-04-12 00:00:00,33.0
2023-04-13 00:00:00,42.0
2023-04-14 00:00:00,14.0
2023-04-15 00:00:00,2.0
2023-04-16 00:00:00,1.0
2023-04-17 00:00:00,13.0
2023-04-18 00:00:00,11.0
2023-04-19 00:00:00,10.0
2023-04-20 00:00:00,7.0
2023-04-21 00:00:00,7.0
2023-04-22 00:00:00,2.0
2023-04-23 00:00:00,1.0
2023-04-24 00:00:00,9.0
2023-04-25 00:00:00,8.0
2023-04-26 00:00:00,7.0
2023-04-27 00:00:00,6.0
2023-04-28 00:00:00,4.0
2023-04-29 00:00:00,
2023-04-30 00:00:00,
2023-05-01 00:00:00,
2023-05-02 00:00:00,2.0
2023-05-03 00:00:00,1.0
2023-05-04 00:00:00,
2023-05-05 00:00:00,
2023-05-06 00:00:00,
2023-05-07 00:00:00,
2023-05-08 00:00:00,2.0
2023-05-09 00:00:00,2.0
2023-05-10 00:00:00,2.0
2023-05-11 00:00:00,1.0
2023-05-12 00:00:00,
2023-05-13 00:00:00,
2023-05-14 00:00:00,
2023-05-15 00:00:00,
2023-05-16 00:00:00,1.0
2023-05-17 00:00:00,1.0
2023-05-18 00:00:00,13.0
2023-05-19 00:00:00,31.0
2023-05-20 00:00:00,11.0
2023-05-21 00:00:00,9.0
2023-05-22 00:00:00,25.0
2023-05-23 00:00:00,30.0
2023-05-24 00:00:00,25.0
2023-05-25 00:00:00,25.0
2023-05-26 00:00:00,27.0
2023-05-27 00:00:00,3.0
2023-05-28 00:00:00,1.0
2023-05-29 00:00:00,9.0
2023-05-30 00:00:00,30.0
2023-05-31 00:00:00,45.0
2023-06-01 00:00:00,72.0
2023-06-02 00:00:00,111.0
2023-06-03 00:00:00,40.0
2023-06-04 00:00:00,33.0
2023-06-05 00:00:00,72.0
2023-06-06 00:00:00,3.0
2023-06-07 00:00:00,3.0
2023-06-08 00:00:00,1.0
