DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 173300(hhmmss KST),Europa Universalis IV,7,49405,135,1207261,"{""en"":6,""tr"":1}","['florryworry', 'xarvioto', 'priamossz1', 'hurtynoob', 'an_to_ragesk', 'yalpgg', 'mrsympany']","['Florryworry', 'xarvioto', 'priamossz1', 'HurtyNoob', 'AN_TO_RAGESK', 'YalpGG', 'mrsympany']","['BackseatingaIIowed', 'ChallengeRun', 'English', 'Türkçe', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'lol', 'lolleagueoflegends', 'strateji', 'victoria3', 'videogames']"
23-06-01 174749(hhmmss KST),Europa Universalis IV,8,48711,309,1192453,"{""en"":6,""ko"":1,""ru"":1}","['florryworry', 'xarvioto', 'priamossz1', 'hurtynoob', 'an_to_ragesk', 'yalpgg', '7thitmmk', 'rrrrrrrrrrrrrrrrrrrrr1']","['Florryworry', 'xarvioto', 'priamossz1', 'HurtyNoob', 'AN_TO_RAGESK', 'YalpGG', '화라락', 'rrrrrrrrrrrrrrrrrrrrr1']","['12HourChallenge', 'BackseatingaIIowed', 'ChallengeRun', 'Competitive', 'English', 'ExtraLife', 'MORDHAU', 'Ranked', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'civ', 'dota2', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'r', 'rrrrrrrrrrrrrrrrrrrrr1', 'stoneisland', 'videogames', '멀티', '시청자참여', '한국어']"
23-06-01 174949(hhmmss KST),Europa Universalis IV,7,48508,440,1191605,"{""en"":6,""ru"":1}","['florryworry', 'xarvioto', 'priamossz1', 'hurtynoob', 'an_to_ragesk', 'yalpgg', 'rrrrrrrrrrrrrrrrrrrrr1']","['Florryworry', 'xarvioto', 'priamossz1', 'HurtyNoob', 'AN_TO_RAGESK', 'YalpGG', 'rrrrrrrrrrrrrrrrrrrrr1']","['12HourChallenge', 'BackseatingaIIowed', 'ChallengeRun', 'Competitive', 'English', 'ExtraLife', 'MORDHAU', 'Ranked', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'civ', 'dota2', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'r', 'rrrrrrrrrrrrrrrrrrrrr1', 'stoneisland', 'videogames']"
23-06-01 180437(hhmmss KST),Europa Universalis IV,8,48230,721,1227030,"{""en"":6,""ko"":1,""ru"":1}","['florryworry', 'xarvioto', '7thitmmk', 'jackthered1', 'priamossz1', 'hurtynoob', 'an_to_ragesk', 'rrrrrrrrrrrrrrrrrrrrr1']","['Florryworry', 'xarvioto', '화라락', 'JackTheRed1', 'priamossz1', 'HurtyNoob', 'AN_TO_RAGESK', 'rrrrrrrrrrrrrrrrrrrrr1']","['12HourChallenge', 'BackseatingaIIowed', 'ChallengeRun', 'Competitive', 'English', 'ExtraLife', 'MORDHAU', 'Ranked', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'civ', 'dota2', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'r', 'rrrrrrrrrrrrrrrrrrrrr1', 'stoneisland', 'videogames', '멀티', '시청자참여', '한국어']"
23-06-01 180637(hhmmss KST),Europa Universalis IV,9,48091,727,1222759,"{""en"":7,""ko"":1,""ru"":1}","['florryworry', 'xarvioto', '7thitmmk', 'yalpgg', 'hurtynoob', 'jackthered1', 'priamossz1', 'an_to_ragesk', 'rrrrrrrrrrrrrrrrrrrrr1']","['Florryworry', 'xarvioto', '화라락', 'YalpGG', 'HurtyNoob', 'JackTheRed1', 'priamossz1', 'AN_TO_RAGESK', 'rrrrrrrrrrrrrrrrrrrrr1']","['12HourChallenge', 'BackseatingaIIowed', 'ChallengeRun', 'Competitive', 'English', 'ExtraLife', 'MORDHAU', 'Ranked', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'civ', 'dota2', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'r', 'rrrrrrrrrrrrrrrrrrrrr1', 'stoneisland', 'videogames', '멀티', '시청자참여', '한국어']"
23-06-01 182124(hhmmss KST),Europa Universalis IV,9,47643,872,1200370,"{""en"":7,""ko"":1,""ru"":1}","['florryworry', 'xarvioto', '7thitmmk', 'priamossz1', 'hurtynoob', 'yalpgg', 'jackthered1', 'an_to_ragesk', 'rrrrrrrrrrrrrrrrrrrrr1']","['Florryworry', 'xarvioto', '화라락', 'priamossz1', 'HurtyNoob', 'YalpGG', 'JackTheRed1', 'AN_TO_RAGESK', 'rrrrrrrrrrrrrrrrrrrrr1']","['12HourChallenge', 'BackseatingaIIowed', 'ChallengeRun', 'Competitive', 'English', 'ExtraLife', 'MORDHAU', 'Ranked', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'civ', 'dota2', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'r', 'rrrrrrrrrrrrrrrrrrrrr1', 'stoneisland', 'videogames', '멀티', '시청자참여', '한국어']"
23-06-01 182324(hhmmss KST),Europa Universalis IV,9,47533,874,1202358,"{""en"":7,""ko"":1,""ru"":1}","['florryworry', 'xarvioto', '7thitmmk', 'jackthered1', 'yalpgg', 'priamossz1', 'hurtynoob', 'an_to_ragesk', 'rrrrrrrrrrrrrrrrrrrrr1']","['Florryworry', 'xarvioto', '화라락', 'JackTheRed1', 'YalpGG', 'priamossz1', 'HurtyNoob', 'AN_TO_RAGESK', 'rrrrrrrrrrrrrrrrrrrrr1']","['12HourChallenge', 'BackseatingaIIowed', 'ChallengeRun', 'Competitive', 'English', 'ExtraLife', 'MORDHAU', 'Ranked', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'civ', 'dota2', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'r', 'rrrrrrrrrrrrrrrrrrrrr1', 'stoneisland', 'videogames', '멀티', '시청자참여', '한국어']"
23-06-01 183809(hhmmss KST),Europa Universalis IV,10,47091,963,1249384,"{""en"":7,""ko"":1,""hu"":1,""ru"":1}","['florryworry', 'xarvioto', 'yalpgg', 'jackthered1', '7thitmmk', 'priamossz1', 'hurtynoob', 'metalrider', 'an_to_ragesk', 'rrrrrrrrrrrrrrrrrrrrr1']","['Florryworry', 'xarvioto', 'YalpGG', 'JackTheRed1', '화라락', 'priamossz1', 'HurtyNoob', 'Metalrider', 'AN_TO_RAGESK', 'rrrrrrrrrrrrrrrrrrrrr1']","['12HourChallenge', 'BackseatingaIIowed', 'ChallengeRun', 'Competitive', 'English', 'ExtraLife', 'MORDHAU', 'Magyar', 'Ranked', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'civ', 'dota2', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'r', 'rrrrrrrrrrrrrrrrrrrrr1', 'stoneisland', 'videogames', '멀티', '시청자참여', '한국어']"
23-06-01 184011(hhmmss KST),Europa Universalis IV,9,47134,963,1248240,"{""en"":6,""ko"":1,""hu"":1,""ru"":1}","['florryworry', 'xarvioto', '7thitmmk', 'yalpgg', 'jackthered1', 'priamossz1', 'hurtynoob', 'metalrider', 'rrrrrrrrrrrrrrrrrrrrr1']","['Florryworry', 'xarvioto', '화라락', 'YalpGG', 'JackTheRed1', 'priamossz1', 'HurtyNoob', 'Metalrider', 'rrrrrrrrrrrrrrrrrrrrr1']","['12HourChallenge', 'BackseatingaIIowed', 'ChallengeRun', 'Competitive', 'English', 'ExtraLife', 'MORDHAU', 'Magyar', 'Ranked', 'achievement', 'allblue', 'chattingwithviewers', 'civ', 'dota2', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'r', 'rrrrrrrrrrrrrrrrrrrrr1', 'stoneisland', 'videogames', '멀티', '시청자참여', '한국어']"
23-06-01 185456(hhmmss KST),Europa Universalis IV,9,47139,1031,1291160,"{""en"":6,""ko"":1,""ru"":1,""hu"":1}","['florryworry', 'xarvioto', '7thitmmk', 'priamossz1', 'yalpgg', 'jackthered1', 'hurtynoob', 'rrrrrrrrrrrrrrrrrrrrr1', 'metalrider']","['Florryworry', 'xarvioto', '화라락', 'priamossz1', 'YalpGG', 'JackTheRed1', 'HurtyNoob', 'rrrrrrrrrrrrrrrrrrrrr1', 'Metalrider']","['12HourChallenge', 'BackseatingaIIowed', 'ChallengeRun', 'Competitive', 'English', 'ExtraLife', 'MORDHAU', 'Magyar', 'Ranked', 'achievement', 'allblue', 'chattingwithviewers', 'civ', 'dota2', 'eu4', 'gaming', 'grandstrategygame', 'ironman', 'r', 'rrrrrrrrrrrrrrrrrrrrr1', 'stoneisland', 'videogames', '멀티', '시청자참여', '한국어']"
